###############################################################################
# Information about Dragon 64 ROM - 32K mode
#
# Collected from:
#     http://archive.worldofdragon.org/phpBB3/viewtopic.php?f=5&t=4370&start=10#p11378
# AUTHOR: Stewart Orchard alias sorchard
#
# copyleft: 2014 by the 6809 team, see AUTHORS for more details.
# license: GNU GPL v3 or above, see LICENSE for more details.
#
###############################################################################

$8000-$8012 ; * standard JMP vectors
$aabe-$aad9 ; * PCOPY
$aac4       ; check for token TO

$aada-$aaed ; * converts number into graphics page address
$aada       ; get number in B
$aade       ; ?FC ERROR
$aae4       ; MSB of start of graphics page 1
$aae6       ; page address must be lower
$aae8       ; than BASIC program
$aaed       ; ?FC ERROR

$aaf0-$aaf1 ; * notes concerning GET & PUT:
$aaf0-$aaf1 ; * when G is not specified for GET, whole bytes are transferred from the
$aaf0-$aaf1 ; * screen to the array. The effective width will therefore be a multiple
$aaf0-$aaf1 ; * of 8. Using such an array, PUT with no action will only display correctly
$aaf0-$aaf1 ; * on byte boundaries. (although it will be fast)
$aaf0-$aaf1 ; * If G is specified for GET then screen bits are packed into the array.
$aaf0-$aaf1 ; * PUT with no action will only work if the array image width is a multiple
$aaf0-$aaf1 ; * of 8 and then only on a screen byte boundary.
$aaf0-$aaf1 ; * PUT with an action works as long as the effective array image width is
$aaf0-$aaf1 ; * observed in the first case of GET. In the second case, the precise width
$aaf0-$aaf1 ; * is used as expected.
$aaf0-$aaf1 ; * GET

$aaf3-$ab50 ; * PUT
$aaf7       ; PATCH - CLS GET PUT
$aafc       ; optional @ before coords
$aafe       ; get next character from BASIC source
$ab00       ; get coords into $bd/$bf & $c3/$c5
$ab03       ; check comma
$ab06       ; validate & get varptr of array
$ab11       ; address of last byte of array+1
$ab15       ; no. of dimensions
$ab19       ; address of first byte of array
$ab1b       ; string arrays not allowed
$ab1d       ; ?FC ERROR
$ab21       ; get current character from BASIC source
$ab23       ; no parameter after array
$ab27       ; check comma
$ab2c       ; PUT
$ab30       ; skip G
$ab33       ; GET ,G
$ab3a       ; set up action routines for PUT
$ab46       ; ?SN ERROR
$ab4e       ; get next character from BASIC source

$ab52-$abbd ; * bytewise GET / PUT
$ab54       ; current PMODE
$ab57       ; 2 colour modes
$ab5d       ; adjust horizontal coords to align with bytes
$ab65       ; calc +ve difference in x ords
$ab68       ; 1st is less than 2nd
$ab6e       ; x ord difference
$ab70       ; +ve difference in Y ords
$ab73       ; 1st is less than 2nd
$ab79       ; y ord difference
$ab7b       ; current PMODE
$ab80       ; 2 colour modes
$ab86       ; adjust coords for PMODE
$ab8f       ; add 1 to y difference to get height
$ab93       ; action specified
$ab9e       ; width of image in bytes
$aba0       ; call relevant pixel calc routine for PMODE
$aba9       ; GET
$abab       ; increment array pointer (U)
$abb2       ; repeat until line done
$abb6       ; move X one line down for all PMODEs
$abbb       ; another line

$abbe-$abc9 ; * increment array pointer (U)
$abc7       ; RTS
$abc9       ; ?FC ERROR

$abcc-$abd2 ; * action for GET without G parameter
$abce       ; increment array pointer (U)

$abd4-$abe8 ; * PUT action JMP table
$abd4-$abe8 ; * action for a clear array bit / action for a set array bit / token
$abd4       ; PSET
$abd9       ; PRESET
$abde       ; OR
$abe3       ; AND
$abe8       ; NOT

$abed-$ac2b ; * GET(G) & PUT(action) - does it bitwise
$abf0       ; width of image in bits
$abf4       ; PUT
$abf8       ; clear array for GET
$abff       ; call relevant pixel calc routine for PMODE
$ac02       ; current PMODE
$ac05       ; 2 colour modes
$ac07       ; reduce mask to single bit
$ac10       ; U = image width in bits
$ac14       ; step array bit pointer
$ac17       ; B = $80
$ac18       ; filled an array byte, so point to next one
$ac1a       ; test for end of array
$ac1d       ; ?FC ERROR
$ac21       ; GET
$ac23       ; test array bit
$ac27       ; action if array bit set
$ac2b       ; action if array bit clear

$ac2f-$ac34 ; * action for PSET 0, PRESET 1, AND 0
$ac32       ; clear screen bit
$ac34       ; next bit

$ac36-$ac3a ; * action for PSET 1, PRESET 0, OR 1
$ac38       ; set screen bit
$ac3a       ; next bit

$ac3c-$ac40 ; * action for NOT 0, NOT 1
$ac3e       ; invert screen bit
$ac40       ; next bit

$ac42-$ac4a ; * GET bit
$ac42       ; test screen bit
$ac44       ; don't set array bit - next pixel
$ac4a       ; set array bit

$ac4c-$ac66 ; * next bit (also action for OR 0, AND 1)
$ac4c       ; pixel mask & width counter
$ac4e       ; step bit one to right
$ac53       ; zero
$ac56       ; not end of line
$ac5a       ; bytes per line in current graphics mode
$ac5c       ; point X to next line
$ac64       ; do another line

$ac67-$ac86 ; * called by GET / PUT: get varptr for specified array
$ac67       ; get varptr address
$ac6e       ; get variable name in U
$ac74       ; ?FC ERROR
$ac78       ; search array storage to ensure
$ac7b       ; that specified variable is an
$ac7d       ; array
$ac83       ; varptr

$ac87-$accc ; * PAINT
$ac89       ; optional @ before coords
$ac8b       ; get next character from BASIC source
$ac8d       ; get coords into $bd / $bf
$ac90       ; adjust coords for PMODE
$ac95       ; PRESET / PSET flag
$ac97       ; read optional colour
$ac9a       ; plot colour
$ac9e       ; get current character from BASIC source
$aca2       ; read optional colour
$aca5       ; byte value of plot colour
$acab       ; plot colour
$acb0       ; set up max coords for PMODE
$acb3       ; get address of pixel calc routine
$acb6       ; pixel calc
$acb8       ; paint left & count pixels in U, D & X
$acbb       ; none painted
$acbd       ; paint right after previous left
$acc4       ; save pos on stack
$acc9       ; save pos on stack

$accf-$ad39 ; * (main loop)
$acd1       ; pixels were painted on previous line
$acd8       ; pixel changed flag (updated by plot)
$acdf       ; current x pos
$ace1       ; no. of pixels painted on previous line
$ace3       ; up / down flag
$ace5       ; RTS - pulled final stack entry
$ace7       ; paint up
$acec       ; not off bottom of screen
$acf0       ; at top/bottom of screen
$acf5       ; paint left & count pixels in U, D & X
$acf8       ; none painted
$acfe       ; only 1 or 2 pixels painted
$ad02       ; save pos on stack with reverse direction
$ad04       ; paint right after previous left
$ad07       ; save pos on stack
$ad11       ; increment X ord
$ad14       ; calc pixel & test for border colour
$ad1e       ; decrement X ord
$ad21       ; copy X ord to $c3
$ad23       ; paint right & count pixels in U, D & X
$ad27       ; increment X ord
$ad37       ; save pos on stack with reverse direction
$ad39       ; loop again

$ad3c-$ad54 ; * save pos with reverse direction
$ad4f       ; memory check

$ad55-$ad5f ; * save pos on stack

$ad61-$ad65 ; * copy X ord to $c3

$ad66-$ad79 ; * paint right after previous left
$ad66-$ad79 ; * X = total no. of pixels painted left & right
$ad66-$ad79 ; * D = no. of pixels painted right + 1
$ad6b       ; copy X ord to $c3
$ad70       ; paint right & count pixels in U, D & X

$ad7a-$ad81 ; * paint left & return pixel count in U, D & X
$ad7a       ; copy X ord to $c3
$ad7d       ; decrement X ord

$ad83-$adac ; * paint right & return pixel count in U, D & X
$ad83       ; increment X ord
$ad87       ; step X ord
$ad89       ; zero
$ad8d       ; < min X
$ad91       ; > max X
$ad95       ; calc pixel & test for border colour
$ad99       ; plot
$ada0       ; step X ord
$adaa       ; CMPD #0

$adad-$adbb ; * calc pixel & test for border colour
$adad       ; pixel calc

$adbd-$adf5 ; * PLAY
$adbd       ; zero
$adc3       ; get expression
$adc7       ; B=0 to select d/a sound
$adca       ; enable audio
$adcd       ; validate string & point X to it (len in B)
$add4       ; string length
$add8       ; 1st byte in string
$adda       ; nothing to do - disable audio & quit
$adde       ; remaining string length
$ade2       ; get character
$adef       ; execute substring
$adf3       ; interpret meta-command

$adf7-$ae07 ; * change octave
$adfb       ; PLAY octave
$adfe       ; modify B according to PLAY parameter
$ae03       ; ?FC ERROR
$ae05       ; PLAY octave

$ae08-$ae25 ; * change volume
$ae0c       ; PLAY d/a high value
$ae12       ; modify B according to PLAY parameter
$ae16       ; ?FC ERROR
$ae23       ; PLAY volume data

$ae26-$ae4c ; * change note length
$ae2a       ; PLAY note length
$ae2c       ; modify B according to PLAY parameter
$ae2f       ; ?FC ERROR
$ae31       ; PLAY note length
$ae33       ; duration modifier (no. of dots)
$ae3a       ; remaining string length
$ae3e       ; get character
$ae45       ; move string pointer back one
$ae4a       ; duration modifier (no. of dots)

$ae4d-$ae5a ; * change tempo
$ae51       ; PLAY tempo
$ae53       ; modify B according to PLAY parameter
$ae56       ; ?FC ERROR
$ae58       ; PLAY tempo

$ae5b       ; * change a PLAY parameter (modifies value in B)

$ae5e-$ae84 ; * play a pause
$ae62       ; check for number or =variable (get into B)
$ae68       ; ?FC ERROR
$ae6b       ; duration modifier (no. of dots)
$ae6d       ; PLAY volume data
$ae73       ; PLAY d/a high value
$ae75       ; PLAY d/a low value
$ae77       ; duration modifier (no. of dots)
$ae7d       ; duration modifier (no. of dots)
$ae7f       ; PLAY volume data

$ae86-$aef0 ; * ignore an N!
$ae8a       ; get character
$ae95       ; check for number or =variable (get into B)
$ae9c       ; note number XLAT table
$ae9f       ; XLAT into number
$aea1       ; remaining string length
$aea5       ; get character
$aeb0       ; sharpen note
$aeb7       ; flatten note
$aeba       ; move string pointer back one
$aec0       ; ?FC ERROR
$aec4       ; PLAY note length
$aec6       ; PLAY tempo
$aec9       ; PLAY duration decrement value
$aecb       ; point U to return address ($ADF5)
$aecd       ; PLAY octave
$aed3       ; pitch XLAT table for octaves 1 & 2
$aede       ; XLAT note for octaves 1 & 2
$aee0       ; compute PLAY duration
$aee2       ; PLAY duration counter
$aee4       ; zero d/a
$aee6       ; PLAY d/a high value
$aee8       ; set d/a
$aeea       ; zero d/a
$aeec       ; PLAY d/a low value
$aeee       ; set d/a
$aef0       ; irq routine controls duration

$aef2-$af19 ; * ;forces jump to $adf5
$aeff       ; XLAT table for octaves 3 - 5 (-$18)
$af08       ; XLAT note for octaves 3 - 5
$af09       ; compute PLAY duration
$af0b       ; PLAY duration counter
$af0d       ; zero d/a
$af0f       ; PLAY d/a high value
$af11       ; set d/a
$af13       ; zero d/a
$af15       ; PLAY d/a low value
$af17       ; set d/a
$af19       ; irq routine controls duration

$af1b-$af26 ; * ;forces jump to $adf5

$af27-$af32 ; * compute PLAY duration
$af29       ; duration modifier (no. of dots)

$af33-$af45 ; * get next character in string, skipping over spaces
$af33-$af45 ; * (called by PLAY & DRAW)
$af35       ; remaining string length
$af39       ; string pointer
$af3d       ; string pointer
$af3f       ; remaining string length

$af47-$af86 ; * change a PLAY parameter (modifies value in B)
$af47       ; get character
$af49       ; inc
$af4d       ; dec
$af51       ; double
$af55       ; halve
$af59       ; equals a variable
$af5d       ; carry set if A non-numeric
$af60       ; ?FC ERROR
$af6b       ; ?FC ERROR
$af6f       ; ?FC ERROR
$af71       ; remaining string length
$af75       ; get character
$af78       ; carry set if A non-numeric
$af7d       ; remaining string length
$af7f       ; string pointer
$af83       ; string pointer
$af86       ; ?FC ERROR

$af89-$af8c ; * increment PLAY parameter
$af8a       ; ?FC ERROR

$af8d-$af91 ; * decrement PLAY parameter
$af8e       ; ?FC ERROR

$af92-$af96 ; * halve PLAY parameter
$af93       ; ?FC ERROR

$af97-$af9b ; * double PLAY parameter
$af98       ; ?FC ERROR

$af9c-$afa3 ; * PLAY parameter equals a variable
$af9e       ; validate variable
$afa0       ; get number in B from FPA1

$afa5-$afb3 ; * execute PLAY substring
$afa5       ; validate variable
$afaa       ; memory check
$afad       ; remaining string length
$afaf       ; string pointer

$afb6-$afd8 ; * validate PLAY / DRAW variable
$afb6       ; string pointer
$afba       ; get character
$afbd       ; carry clear if A-Z
$afc0       ; ?FC ERROR
$afc2       ; get character
$afcb       ; BASIC source pointer
$afcf       ; BASIC source pointer
$afd6       ; BASIC source pointer

$afd9-$aff5 ; * IRQ service routine continued
$afdc       ; PLAY duration counter
$afe2       ; must be in PLAY loop
$afe4       ; therefore calculate
$afe6       ; duration remaining
$afe8       ; PLAY duration counter
$afee       ; points S to old U (=$adf5)
$aff1       ; mask entire state save
$aff3       ; RTI will now return to $adf5

$aff6       ; * PLAY letter to note number XLAT table

$affd-$b021 ; * PLAY pitch XLAT table for octaves 1 & 2

$b02d-$b045 ; * PLAY pitch XLAT table for octaves 3 - 5

$b051-$b0e7 ; * DRAW
$b051       ; zero
$b057       ; PRESET / PSET flag
$b05b       ; set up colours
$b05e       ; get expression
$b061       ; validate string & point X to it (len in B)
$b066       ; get character
$b069       ; check for number or =variable (get into B)
$b06e       ; remaining string length
$b072       ; string pointer
$b074       ; nothing left to do - RTS
$b078       ; remaining string length
$b07c       ; get character
$b0a7       ; remaining string length
$b0ab       ; get character
$b0ae       ; carry clear if A-Z
$b0b3       ; move string pointer back one
$b0ba       ; check for number or =variable (get into B)
$b0e7       ; ?FC ERROR

$b0ea-$b0f2 ; * DRAW 'C'
$b0ea       ; interpret colour in B
$b0ed       ; foreground colour
$b0ef       ; set up colours

$b0f4-$b0fa ; * DRAW 'A'
$b0f6       ; ?FC ERROR
$b0f8       ; angle

$b0fc-$b102 ; * DRAW 'S'
$b0fe       ; ?FC ERROR
$b100       ; scale

$b104-$b107 ; * DRAW 'H'    (D = X = -B)
$b105       ; NEGB, A=A-C

$b109-$b10b ; * DRAW 'F'    (D = X = B)
$b109-$b10b ; * (B108 4F         CLRA)

$b10d-$b114 ; * DRAW 'E'    (D = B, X = -B)
$b110       ; NEGB, A=A-C

$b116-$b11b ; * DRAW 'G'    (D = -B, X = B)
$b119       ; NEGB, A=A-C

$b11d-$b120 ; * DRAW 'R'    (D = B, X = 0)
$b11e       ; zero

$b122-$b125 ; * DRAW 'L'    (D = -B, X = 0)
$b123       ; NEGB, A=A-C

$b127-$b128 ; * DRAW 'D'    (D = 0, X = B)

$b12a-$b131 ; * DRAW 'U'    (D = 0, X = -B)
$b12b       ; NEGB, A=A-C
$b12d       ; zero

$b133-$b141 ; * DRAW 'X'
$b133       ; validate variable
$b138       ; memory check
$b13b       ; remaining string length
$b13d       ; string pointer
$b13f       ; store current string
$b141       ; start again with new string

$b144-$b165 ; * apply DRAW scale factor to X
$b14f       ;  D = -D
$b151       ;  Y:U = D * X

$b166-$b1ca ; * apply scale & angle to relative movement vector in D & X,
$b166-$b1ca ; * calculate new pos & draw.
$b166-$b1ca ; * (D = horizontal component, X = vertical component)
$b168       ; scale X into D
$b16e       ; scale X into D
$b172       ; angle
$b17b       ;  swap vector components
$b17d       ;  D = -D
$b181       ; rotate another 90 degrees
$b185       ; zero
$b187       ; current X
$b18b       ;  U = new X
$b18f       ; zero
$b191       ; current Y
$b1a5       ;  X = new Y
$b1b6       ; no position update
$b1bc       ; adjust coords for PMODE
$b1c1       ; blank move
$b1c3       ; draw line

$b1cd-$b1f3 ; * DRAW 'M'
$b1cd       ; get character
$b1d2       ; get ordinate into D
$b1d7       ; get character
$b1e0       ; get ordinate into D
$b1ef       ; absolute position
$b1f3       ; relative movement

$b1f6-$b213 ; * get ordinate for Move
$b1f6       ; get character
$b201       ; move string pointer back one
$b207       ; check for number or =variable (get into B)

$b214-$b234 ; * CIRCLE trig factor look-up table
$b214-$b234 ; * circle is drawn in 8 main sectors with 8 or 9 subdivisions each

$b238-$b341 ; * CIRCLE
$b23a       ; optional @ before coords
$b23c       ; get next character from BASIC source
$b23e       ; set up max coords for PMODE
$b241       ; get coords from command into $bd / $bf
$b244       ; adjust coords for PMODE
$b24f       ; check comma
$b252       ; get 16 bit number into X
$b258       ; circle radius
$b25a       ; adjust radius correct for PMODE
$b25f       ; PRESET / PSET flag
$b261       ; read optional colour
$b267       ; get current character from BASIC source
$b26b       ; check comma
$b26e       ; get FP number (h/w ratio)
$b275       ; multiply FP number by 256
$b277       ; read 16 bit number into X from FPA1
$b27a       ; current PMODE
$b282       ; double hw ratio for PMODEs 2 & 3
$b288       ; PRESET / PSET flag
$b28c       ; read optional start value
$b291       ; read optional end value
$b298       ; loop starts here
$b29a       ; move old end coords to start coords
$b2aa       ; B = 8-B for odd sectors
$b2b2       ; X= (,U) x radius
$b2bb       ; X= (,U) x radius
$b2be       ; X & Y now hold circle coord offsets
$b2ca       ; swap X & Y for sectors 1,2,5,6
$b2cc       ; x offset
$b2d2       ;  Y:U = D * X
$b2d5       ; D = hw ratio x y ord
$b2d8       ; ?FC ERROR
$b2dc       ; MSB of y offset
$b2e0       ; LSB of y offset
$b2ee       ; x = centre - offset
$b2f0       ; for sectors 2,3,4,5
$b2f2       ; keep on screen
$b2f8       ; x = centre + offset
$b2fa       ; for sectors 0,1,6,7
$b2fc       ; keep on screen
$b303       ; circle x ord now calculated
$b30d       ; y = centre - offset
$b30f       ; for sectors 4,5,6,7
$b311       ; keep on screen
$b317       ; y = centre + offset
$b319       ; for sectors 0,1,2,3
$b31b       ; keep on screen
$b322       ; circle y ord now calculated
$b326       ; 1st loop - don't draw
$b328       ; draw line ($bd,$bf)-($c3,$c5)
$b32e       ; 1st loop - don't test end condition
$b330       ; reached end angle?
$b335       ; increment angle counter

$b342-$b34f ; * multiply radius by value pointed to by U
$b342       ; radius
$b34b       ;  Y:U = D * X

$b350-$b378 ; * multiplies D by X & leaves result in Y:U

$b37a       ; * called by CIRCLE
$b37a       ; draw line

$b37d-$b39a ; * called by CIRCLE: reads optional start/end value
$b37d-$b39a ; * reduces to 6 bits and leaves top 3 bits in A
$b37d-$b39a ; * & bottom 3 bits in B
$b37e       ; get current character from BASIC source
$b382       ; check comma
$b385       ; get FP number
$b38c       ; multiply FP number by 64
$b38e       ; get FP number in B

$b39b-$b3b2 ; * reset routine continued
$b39f       ; enable cart FIRQ
$b3a4       ; cold boot flag
$b3a8       ; cold boot
$b3aa       ; soft reset vector
$b3b0       ; cold boot
$b3b2       ; soft reset

$b3b4-$b3b7 ; * reset routine (CPU vector)
$b3b7       ; JMP to $BB3C

$b3ba-$b44d ; * reset routine - invalid soft vector
$b3ba       ; clear 0 - 3ff
$b3c3       ; clear text screen
$b3c8       ; start of BASIC program
$b3ca       ; memory test
$b3d9       ; top of RAM
$b3db       ; top of BASIC RAM
$b3dd       ; top of free string space
$b3e3       ; stack root / string storage start
$b3e7       ; calls $BB88
$b3ed       ; initialise system variables
$b3f2       ; copy B bytes from X to U
$b3f5       ; initialise system variables
$b3fa       ; copy B bytes from X to U
$b3fd       ; ?SN ERROR
$b400       ; dummy disk command jump
$b402       ; dummy disk function jump
$b404       ; set patch vectors to RTS
$b40f       ; mystery RTS
$b412       ; NEW BASIC
$b415       ; set up PLAY & graphics variables
$b418       ; set up USR vectors
$b41b       ; address of USR table
$b41d       ; ?FC ERROR
$b427       ; PCLEAR 4
$b42f       ; enable vsync irq
$b432       ; check for 'DK' disk
$b435       ; cartridge sigature
$b43c       ; enable interrupts
$b441       ; display copyright message
$b444       ; set up soft reset vector
$b447       ; soft reset vector
$b44b       ; cold boot flag
$b44d       ; (JMP $8371 - command mode)

$b44f-$b466 ; * normal soft reset routine
$b450       ; clear PLAY duration counter
$b454       ; enable vsync irq
$b45c       ; DEVN = VDU
$b45e       ; reset stack
$b461       ; enable interrupts
$b463       ; clear screen
$b466       ; command mode

$b469-$b47d ; * FIRQ service routine
$b46c       ; cartridge
$b46f       ; delay
$b47b       ; cold boot flag

$b480-$b486 ; * delay before starting FIRQ cartrige
$b480       ; zero

$b487-$7ebb ; * copied to $9d - $aa on start up
$b487-$7ebb ; * (default EXEC & get character routine)

$b495-$b4a9 ; * copied to $10c - $129 on start up
$b495-$b4a9 ; * (IRQ, FIRQ, RND seeds, key delay, command addresses)

$b4b3-$b503 ; * copyright message

$b505-$b509 ; * read 7 bit character from device DEVN

$b50a-$b519 ; * read character from device DEVN
$b50a-$b519 ; * (+set EOF file flag if applicable)
$b50a       ; PATCH - input character from DEVN
$b50d       ; EOF flag
$b50f       ; DEVN
$b511       ; get character from keyboard
$b513       ; no. of characters in buffer
$b515       ; get character from file
$b517       ; set EOF flag

$b51a-$b536 ; * read character from file
$b51c       ; buffer pointer
$b522       ; buffer pointer
$b524       ; no. of characters in buffer
$b528       ; DEVN
$b52c       ; serial
$b52e       ; get block from tape
$b533       ; get block from serial

$b538-$b548 ; * wait for character from keyboard
$b538-$b548 ; * (with cursor)
$b53a       ; blink cursor
$b53d       ; scan keyboard
$b544       ; text cursor address

$b54a-$b576 ; * output character to device DEVN
$b54a       ; PATCH - output character to DEVN
$b54f       ; DEVN
$b553       ; not -3 (serial output not supported)
$b55a       ; send to printer
$b55e       ; send to VDU
$b560       ; send to file
$b562       ; cassette IO status
$b565       ; input - quit
$b567       ; no. of characters in buffer
$b56c       ; flush tape buffer
$b56e       ; buffer pointer
$b572       ; buffer pointer
$b574       ; no. of characters in buffer

$b578-$b58c ; * flush tape buffer
$b57a       ; block type
$b57c       ; IO buffer
$b581       ; no. of characters in buffer
$b583       ; block length
$b587       ; write leader & block to tape
$b58c       ; reset IO buffer

$b58f-$b592 ; * send character to VDU
$b58f       ; reset VDU
$b592       ; write to VDU

$b595-$b5c1 ; * initialise virtual DEVN device
$b595       ; PATCH - device initialisation
$b59a       ; cassette IO flag
$b59c       ; DEVN
$b59e       ; VDU
$b5a1       ; cassette
$b5a3       ; printer comma field width / last comma field
$b5a5       ; printer line width / head pos
$b5ab       ; get VDU column number
$b5b2       ; comma field width / last comma field
$b5b4       ; current column number
$b5b6       ; line width
$b5ba       ; set cassette IO flag

$b5c3       ; * clear screen
$b5c3       ; clear screen

$b5c6-$b621 ; * command mode line input from DEVN
$b5c6       ; PATCH - line input file
$b5c9       ; last key pressed
$b5ce       ; B = character count
$b5d0       ; read 7 bit character from DEVN
$b5d3       ; EOF flag
$b5d5       ; EOF
$b5d7       ; DEVN
$b5d9       ; not keyed input
$b5db       ; CLEAR key
$b5df       ; backspace
$b5e4       ; nothing to delete
$b5ea       ; shift + backspace
$b5ef       ; nothing to delete
$b5f3       ; output character to DEVN
$b5f8       ; BREAK
$b5fe       ; RETURN
$b605       ; send CR to DEVN
$b60a       ; return with carry set if
$b60d       ; input aborted with BREAK
$b611       ; chr < $20
$b615       ; chr >= $7b
$b619       ; max no. of characters = $fa
$b61e       ; echo typed character

$b623-$b639 ; * test cassette status OK for input
$b623       ; PATCH - input file
$b626       ; DEVN
$b628       ; RTS
$b62b       ; ?FM ERROR
$b62d       ; cassette IO status
$b62f       ; open
$b631       ; ?NO ERROR
$b637       ; input - RTS
$b639       ; ?FM ERROR

$b63c-$b64b ; * if DEVN = -1 test cassette status for output
$b63c       ; PATCH - output file
$b63f       ; DEVN
$b642       ; not cassette
$b644       ; cassette IO status
$b646       ; ?NO ERROR
$b649       ; ?FM ERROR

$b64c-$b65c ; * CLOSE
$b64c-$b65c ; * Format: CLOSE [#-n[,#-n]]
$b64c       ; no parameter so close #-1
$b64e       ; read #-n & set up DEVN (no skip comma)
$b651       ; close DEVN stream & set DEVN to 0
$b653       ; get current character from BASIC source
$b655       ; RTS
$b657       ; read #-n & set up DEVN
$b65a       ; read next stream no.
$b65c       ; PATCH - close all files

$b65f-$b681 ; * close cassette stream & set DEVN to 0
$b661       ; DEVN
$b663       ; PATCH - close file
$b666       ; DEVN
$b668       ; DEVN
$b66b       ; not cassette
$b66d       ; cassette IO status
$b671       ; not output
$b673       ; no. of characters in buffer
$b677       ; flush tape buffer
$b67c       ; B = $FF = EOF block
$b67f       ; cassette IO status

$b682-$b6a2 ; * CSAVE
$b684       ; CSAVEM
$b688       ; get filename
$b68b       ; get current character from BASIC source
$b68d       ; normal CSAVE
$b68f       ; check comma
$b694       ; skip over 'A'
$b697       ; return if anything else on command line
$b699       ; file type = 0 = tokenized BASIC
$b69a       ; write filename block for gapped ASCII
$b69f       ; DEVN = -1
$b6a2       ; LIST to DEVN - very clever!

$b6a5-$b6d1 ; * ungapped CSAVE
$b6a5       ; tokenized BASIC
$b6a6       ; non-ASCII & ungapped
$b6a8       ; write filename block
$b6ab       ; cassette IO status
$b6ad       ; block type
$b6af       ; write leader
$b6b2       ; start of BASIC program
$b6b4       ; IO buffer
$b6b8       ; block length
$b6ba       ; start of simple variables
$b6bc       ; IO buffer
$b6c6       ; block length
$b6c8       ; write block to tape
$b6cd       ; block type
$b6cf       ; block length
$b6d1       ; write block & cassette relay off

$b6d4-$b6fa ; * CLOAD
$b6d4       ; cassette IO status
$b6d8       ; CLOADM (returns to $b73c if not gapped)
$b6de       ; get filename
$b6e1       ; find file & set up buffer
$b6e4       ; gap flag
$b6e9       ; ASCII flag
$b6ec       ; ?FM ERROR
$b6ee       ; NEW BASIC
$b6f3       ; DEVN = -1
$b6f5       ; cassette status 1 = input
$b6f7       ; get block from tape
$b6fa       ; command mode / no device initialise

$b6fd-$b703 ; * close file & return to command mode
$b6fd       ; PATCH - close ASCII file
$b700       ; close DEVN stream & set DEVN to 0
$b703       ; command mode

$b706-$b739 ; * ungapped CLOAD
$b706       ; file type 0 = tokenized BASIC
$b70b       ; ?FM ERROR
$b70e       ; NEW BASIC
$b711       ; read leader from tape
$b714       ; start of BASIC program
$b716       ; IO buffer
$b71b       ; memory check
$b71e       ; read block from tape
$b721       ; error
$b723       ; block type
$b725       ; error
$b729       ; start of simple variables
$b72b       ; cassette relay off
$b730       ; print string to DEVN
$b733       ; set up new BASIC program & go command mode
$b736       ; NEW BASIC
$b739       ; ?IO ERROR

$b73c-$b76d ; * returned to do ungapped CLOADM
$b73c       ; zero
$b73e       ; get current character from BASIC source
$b742       ; check comma
$b745       ; get 16 bit number into X
$b748       ; file type
$b74b       ; 2 = binary
$b74d       ; ?FM ERROR
$b74f       ; entry address
$b752       ; apply offset
$b754       ; EXEC address
$b756       ; load address
$b75b       ; IO buffer
$b75d       ; read leader from tape
$b760       ; read block from tape
$b763       ; ?IO ERROR
$b765       ; IO buffer
$b767       ; block type
$b769       ; ?IO ERROR
$b76d       ; cassette relay off

$b770-$b777 ; * EXEC
$b772       ; get 16 bit number into X
$b775       ; default EXEC address

$b77b-$b783 ; * scan for break & pause if DEVN not -1
$b77b       ; PATCH - check break & pause
$b77e       ; DEVN
$b781       ; RTS
$b783       ; scan keyboard for break & pause

$b786-$b795 ; * called by PRINT to handle PRINT@
$b786       ; get unsigned number into D & $52 from FPA1
$b78c       ; ?FC ERROR
$b793       ; text cursor address

$b796-$b7a7 ; * INKEY$
$b796       ; last key pressed
$b798       ; key ready
$b79a       ; scan keyboard
$b79d       ; last key pressed
$b7a1       ; set up character & put on varptr stack
$b7a7       ; leas 2,s & put temp string on varptr stack

$b7aa-$b7c9 ; * called by get filename routine
$b7aa-$b7c9 ; * (reads filename from command into usual location)
$b7b3       ; IO buffer
$b7b8       ; get current character from BASIC source
$b7ba       ; RTS
$b7bc       ; get expression
$b7bf       ; validate string & point X to it (len in B)
$b7c5       ; store length

$b7cc-$b7d3 ; * copy 8 bytes from X to U
$b7cc-$b7d3 ; * (B7CA C608       LDB   #$08)
$b7cc-$b7d3 ; * copy B bytes from X to U

$b7d4-$b7f6 ; * read #-n from command and sets up DEVN
$b7d4       ; check comma
$b7db       ; get next character from BASIC source
$b7dd       ; get numeric expression into FPA1
$b7e0       ; get 16 bit number into D & $52 from FPA1
$b7e6       ; ?DN ERROR
$b7e9       ; DEVN
$b7eb       ; PATCH - check device number
$b7f0       ; ?DN ERROR
$b7f4       ; ?DN ERROR

$b7f7-$b7fd ; * get filename from command
$b7f7-$b7fd ; * (sets up filename locations)
$b7f7       ; get filename
$b7f9       ; get current character from BASIC source
$b7fb       ; RTS
$b7fd       ; ?SN ERROR

$b800-$b81b ; * EOF
$b800       ; PATCH - check eof
$b803       ; DEVN
$b807       ; get device number from command
$b809       ; test cassette status OK for input
$b80d       ; DEVN
$b80f       ; VDU
$b811       ; no. of characters in buffer
$b813       ; not EOF
$b818       ; DEVN
$b81b       ; assign D to FPA1

$b81e-$b827 ; * SKIPF
$b81e       ; get filename
$b820       ; find file & set up buffer
